,predicted_mean
2021-08-01,22813.402770960936
2021-09-01,18430.222357503797
2021-10-01,16622.831331554135
2021-11-01,26143.22948029686
2021-12-01,18021.62970805617
2022-01-01,12386.772752854511
2022-02-01,28705.07388358353
2022-03-01,19844.826531715556
2022-04-01,18002.306064717173
2022-05-01,24545.648447280073
2022-06-01,21026.941685264548
2022-07-01,14939.993961446238
2022-08-01,24006.550589120812
2022-09-01,20361.026432234135
2022-10-01,17398.4953896266
2022-11-01,24674.26907477644
2022-12-01,18705.004452405312
